Precio (ARS),Marca,Modelo,Versión,Año,KM,Color,Combustible,Puertas,Transmisión,Motor,Carrocería,Ubicación,Cilindrada
24000000,Chevrolet,S10,2.8 Ls Cd Tdci 200cv,2017,125285,Plateado,Diésel,4,Manual,2.8,Pick-Up,Concordia - Entre Ríos,2.8
23500000,Nissan,Versa,1.6 Sense Mt,2022,34000,Blanco,Nafta,4,Manual,1.6,Sedán,Vicente López - Bs.As. G.B.A. Norte,1.6
4960000,Fiat,Cronos,1.3 Gse Like,2025,500,Gris,Nafta,4,Manual,1.3,Sedán,Quilmes - Bs.As. G.B.A. Sur,1.3
22500000,Chevrolet,Tracker,1.2 Turbo At,2020,96709,Gris,Nafta,5,Automática,1.2,SUV,Capital Federgffal - Capital Federal,1.2
9920000,Fiat,Pulse,1.3 Gse Drive Cvt,2025,500,Plateado,Nafta,5,Automática,1.3,SUV,Mendoza - Mendoza,1.3
6200000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,500,Blanco,Nafta,4,Manual,1.3,Sedán,Capital Federal - Capital Federal,1.3
24000000,Toyota,Etios,1.5 Xls At,2022,49500,Gris,Nafta,5,Automática,1.5,Hatchback,Capital Federal - Capital Federal,1.5
16740000,Fiat,Toro,1.3 T270 Volcano 4X2 At,2025,666,Blanco,Nafta,4,Automática,1.3,Pick-Up,Moreno - Bs.As. G.B.A. Oeste,1.3
11780000,Fiat,Pulse,1.3 Gse Drive Mt,2025,666,Negro,Nafta,5,Manual,1.3,SUV,Avellaneda - Bs.As. G.B.A. Sur,1.3
18600000,Ford,Kuga,1.6 Sel 6mt Fwd T 150 Cv,2013,140000,Azul,Nafta,5,Manual,1.6,SUV,San Isidro - Bs.As. G.B.A. Norte,1.6
23000000,Peugeot,2008,1.6 Thp In Concert,2020,50000,Blanco,Nafta,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
26800000,Fiat,Toro,2.0 Freedom 4x4 At,2019,145000,Negro,Diésel,4,Automática,2.0,Pick-Up,Avellaneda - Bs.As. G.B.A. Sur,2.0
39556000,Toyota,Corolla,1.8 Hev Seg Ecvt,2023,6000,Blanco,Nafta,4,Automática,1.8,Sedán,Capital Federal - Capital Federal,1.8
14880900,Ford,Ecosport,1.6 Titanium 110cv 4x2,2014,95000,Rojo,Nafta/GNC,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
20658400,Volkswagen,Saveiro,1.6 Trendline,2019,25000,Blanco,Nafta,2,Manual,1.6,Pick-Up,Castelar - Bs.As. G.B.A. Oeste,1.6
19999999,Volkswagen,Saveiro,1.6 Trendline,2019,25000,Blanco,Nafta,2,Manual,1.6,Pick-Up,Castelar - Bs.As. G.B.A. Oeste,1.6
21700000,Dodge,Journey,3.6 R/t Atx Awd 280cv,2013,97800,Negro,Nafta,5,Automática,3.6,SUV,Capital Federal - Capital Federal,3.6
37198760,Honda,HR-V,1.8 Ex 2wd Cvt l20,2020,38000,Gris,Nafta,5,Automática,1.8,SUV,Vicente López - Bs.As. G.B.A. Norte,1.8
29500004,Fiat,Strada,1.3 Volcano,2023,0,Negro,Nafta,3,Manual,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
29500003,Fiat,Strada,1.3 Volcano,2023,0,Blanco,Nafta,3,Manual,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
29500002,Fiat,Strada,1.3 Volcano,2023,0,Negro,Nafta,3,Manual,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
29500001,Fiat,Strada,1.3 Volcano,2023,0,Negro,Nafta,3,Manual,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
14880000,Chevrolet,Tracker,1.8 Ltz+ Awd At 140cv,2016,77654,Plateado,Nafta,5,Automática,1.8,SUV,Vicente López - Bs.As. G.B.A. Norte,1.8
20200000,Chevrolet,Tracker,1.8 Ltz+ 140cv,2017,108000,Gris,Nafta,5,Automática,1.8,SUV,La Matanza - Bs.As. G.B.A. Oeste,1.8
20850000,Chevrolet,Cruze,1.4 Ltz At Sedan,2019,104331,Plateado,Nafta,4,Automática,1.4,Sedán,Concordia - Entre Ríos,1.4
30900000,Fiat,FASTBACK,1.3 T270 At6,2024,10000,Gris,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
10490000,Renault,Captur,2.0 Intens Manual,2017,90000,Gris,Nafta,5,Manual,2.0,SUV,Pilar - Bs.As. G.B.A. Norte,2.0
23500000,Peugeot,208,1.6 Allure Pack,2023,0,Azul,Nafta,5,Manual,1.6,Hatchback,Hurlingham - Bs.As. G.B.A. Oeste,1.6
14940000,Volkswagen,Amarok,2.0 Cd Tdi 140cv Trendline,2023,23000,Gris,Diésel,4,Manual,2.0,Pick-Up,Pilar - Bs.As. G.B.A. Norte,2.0
8240000,Citroën,C3,1.6 Vti 115 Feel,2018,75000,Blanco,Nafta,5,Manual,1.6,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.6
20999000,Renault,Sandero,1.6 16v Intens,2023,39000,Plateado,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
8680000,Chevrolet,Celta,1.4 Advantage Aa+dir,2015,74325,Blanco,Nafta,5,Manual,1.4,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.4
12900000,Peugeot,208,1.6 Allure,2016,90000,Gris,Nafta,5,Manual,1.6,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.6
13020000,Audi,A4,2.0 Ambition Tfsi 211cv Multitronic,2013,86745,Gris,Nafta,4,Automática,2.0,Sedán,Vicente López - Bs.As. G.B.A. Norte,2.0
18499900,Ford,Ecosport,1.6 Freestyle 110cv 4x2,2016,68500,Plateado,Nafta,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
22900000,Volkswagen,Nivus,1.0 Tsi Tiptronic Comfortline,2021,108300,Blanco,Nafta,5,Automática,1.0,SUV,Pilar - Bs.As. G.B.A. Norte,1.0
18600000,Fiat,Toro,1.8 170 E-torq Evo Freedom At6,2022,50435,Negro,Nafta,4,Automática,1.8,Pick-Up,Vicente López - Bs.As. G.B.A. Norte,1.8
27900000,Fiat,FASTBACK,1.3 Abarth T270 At6,2025,500,Rojo,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
12500000,Peugeot,208,1.5 Active,2015,70100,Plateado,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
8900000,Peugeot,207,1.4 Xs,2009,87500,Gris,Nafta,5,Manual,1.4,Hatchback,Capital Federal - Capital Federal,1.4
7700000,Citroën,C3,1.6 I Exclusive,2005,140000,Celeste,Nafta,5,Manual,1.6,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.6
8940000,Volkswagen,Up!,1.0 Move Up! 75cv 5 p,2014,89000,Gris,Nafta,5,Manual,1.0,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.0
8680000,Fiat,Strada,1.3 Freedom Cd,2025,500,Gris,Nafta,4,Manual,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
8060000,Fiat,Cronos,1.3 Drive Mt,2025,500,Plateado,Nafta,4,Manual,1.3,Sedán,General San Martín - Bs.As. G.B.A. Norte,1.3
8060000,Fiat,Cronos,1.3 Drive Mt,2025,500,Plateado,Nafta,4,Manual,1.3,Sedán,General San Martín - Bs.As. G.B.A. Norte,1.3
32980900,Hyundai,Creta,1.6 Gl Connect Automática,2022,40000,Blanco,Nafta,5,Automática,1.6,SUV,Capital Federal - Capital Federal,1.6
19390900,Chevrolet,Spin,1.8 Activ Ltz 5as At 105cv,2018,83000,Plateado,Nafta/GNC,5,Automática,1.8,Monovolumen,Capital Federal - Capital Federal,1.8
25000000,Chevrolet,Tracker,1.2 Premier Turbo At,2020,49514,Gris,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
37000000,Toyota,Corolla Cross,2.0 Seg Cvt,2021,36704,Gris,Nafta,5,Automática,2.0,SUV,Capital Federal - Capital Federal,2.0
14800000,Honda,CR-V,2.4 Lx At 2wd (mexico),2011,250000,Gris,Nafta,5,Automática,2.4,SUV,San Isidro - Bs.As. G.B.A. Norte,2.4
27980900,Volkswagen,Amarok,2.0 Cs Tdi 140Cv Trendline,2019,67000,Blanco,Diésel,2,Manual,2.0,Pick-Up,Capital Federal - Capital Federal,2.0
9050000,Peugeot,308,1.6 Active,2013,124000,Gris,Nafta,5,Manual,1.6,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.6
4278000,Fiat,Cronos,1.3 Gse Drive Pack Plus Cvt,2025,500,Negro,Nafta,4,Automática,1.3,Sedán,Capital Federal - Capital Federal,1.3
15252000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,500,Rojo,Nafta,4,Automática,1.3,Pick-Up,Berazategui - Bs.As. G.B.A. Sur,1.3
10168000,Fiat,Pulse,1.3 Gse Drive Mt,2025,500,Plateado,Nafta,5,Manual,1.3,SUV,Capital Federal - Capital Federal,1.3
6200000,Fiat,Cronos,1.3 Gse Like,2025,500,Gris,Nafta,4,Manual,1.3,Sedán,José C. Paz - Bs.As. G.B.A. Norte,1.3
23436000,Honda,Civic,2.0 Ex-l 2017,2017,112300,Gris,Nafta,4,Automática,2.0,Sedán,Capital Federal - Capital Federal,2.0
16900000,Citroën,C3 Aircross,1.6 Vti 115 Feel,2018,101300,Negro,Nafta,5,Manual,1.6,Hatchback,Lanús - Bs.As. G.B.A. Sur,1.6
28520000,Hyundai,Genesis,3.8 Coupe 300cv 6at,2010,85000,Gris,Nafta,2,Automática,3.8,Coupé,Capital Federal - Capital Federal,3.8
21452000,Ford,Focus III,2.0 Titanium At6,2016,52300,Blanco,Nafta,5,Automática,2.0,Hatchback,La Matanza - Bs.As. G.B.A. Oeste,2.0
16000000,Fiat,FASTBACK,1.3 T270 At6,2025,500,Negro,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
26370002,Fiat,Strada,1.4 8v Freedom Cd,2023,0,Negro,Nafta,3,Manual,1.4,Pick-Up,Capital Federal - Capital Federal,1.4
10540000,Fiat,FASTBACK,1.3 T270 At6,2025,500,Negro,Nafta,5,Automática,1.3,SUV,Tunuyán - Mendoza,1.3
33356000,Hyundai,Santa Fe,2.4 Seguridad 7as 6at 2wd,2017,59600,Gris,Nafta,5,Automática,2.4,SUV,Capital Federal - Capital Federal,2.4
4960000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,500,Blanco,Nafta,4,Manual,1.3,Sedán,Florencio Varela - Bs.As. G.B.A. Sur,1.3
26370001,Fiat,Strada,1.4 8v Freedom Cd,2023,0,Negro,Nafta,3,Manual,1.4,Pick-Up,Capital Federal - Capital Federal,1.4
37000000,Toyota,Corolla Cross,2.0 Seg Cvt,2021,36704,Gris,Nafta,5,Automática,2.0,SUV,Capital Federal - Capital Federal,2.0
21098035,Fiat,Cronos,1.3 Attractive Mt,2023,0,Blanco,Nafta,4,Automática,1.3,Sedán,Ezeiza - Bs.As. G.B.A. Sur,1.3
12499999,Peugeot,208,1.5 Active,2015,70000,Gris,Nafta,5,Manual,1.5,Hatchback,Capital Federal - Capital Federal,1.5
17989900,Peugeot,2008,1.6 Thp Sport,2018,100000,Marrón,Nafta,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
33600000,Peugeot,208,1.0T Gt,2024,2300,Blanco,Nafta,5,Automática,1.0,Hatchback,La Matanza - Bs.As. G.B.A. Oeste,1.0
